ff_id,SC15,SC15_SE,SC9,SC9_SE,PAF,PAF_SE,city
3829,0.978,0.622,0.408,0.566,0.701,0.436,13
3832,-1.33,0.443,-0.247,0.98,-0.378,0.331,13
3833,0.279,0.498,0.327,0.576,0.184,0.387,13
3834,0.846,0.599,0.018,0.508,0.326,0.397,13
3837,-0.78,0.443,-0.597,0.457,-1.253,0.308,13
3838,-0.71,0.457,-0.11,0.515,-1.347,0.312,13
3840,-1.052,0.441,0.733,0.659,-0.937,0.314,13
3842,0.876,0.604,0.502,0.594,0.329,0.395,13
3844,0.11,0.488,-0.351,0.518,-0.555,0.33,13
3845,0.08,0.484,-0.908,0.506,-0.279,0.339,13
3846,0.017,0.478,-0.1,0.504,0.617,0.416,13
3848,0.081,0.488,-0.042,0.981,-0.776,0.329,13
3849,0.283,0.508,0.016,0.557,-0.406,0.335,13
3850,0.934,0.614,0.511,0.595,0.528,0.417,13
3851,-0.128,0.466,-0.146,0.514,-0.452,0.33,13
3852,1.215,0.676,-0.43,0.51,1.633,0.603,13
3853,0.973,0.623,-0.989,0.456,0.985,0.48,13
3854,0.561,0.542,0.5,0.594,0.99,0.486,13
3855,-0.513,0.451,0.035,0.523,-0.515,0.334,13
3857,0.111,0.487,-0.004,0.981,-0.31,0.348,13
3858,-0.231,0.459,0.87,0.681,1.264,0.543,13
3860,0.127,0.489,0.005,0.556,-0.539,0.334,13
3861,-0.263,0.463,-0.068,0.98,-0.348,0.346,13
3862,-0.947,0.45,-1.675,0.489,-1.186,0.318,13
3865,-0.256,0.468,-0.575,0.502,-0.828,0.322,13
3866,0.651,0.569,-0.109,0.516,-0.379,0.342,13
3868,0.064,0.474,0.228,0.532,0.568,0.42,13
3869,-0.553,0.458,-0.564,0.497,-0.3,0.342,13
3870,0.772,0.587,0.903,0.687,-0.136,0.353,13
3871,0.432,0.542,-1.711,0.494,-0.937,0.322,13
3872,-0.711,0.45,0.175,0.53,-0.117,0.352,13
3873,-0.124,0.473,-0.708,0.462,0.264,0.38,13
3874,0.35,0.514,-0.098,0.504,-0.056,0.358,13
3875,0.624,0.548,-1.297,0.499,1.461,0.568,13
3876,0.413,0.525,0.887,0.684,0.236,0.362,13
3877,0.214,0.509,-1.237,0.49,-0.255,0.348,13
3878,0.964,0.619,0.943,0.694,0.54,0.415,13
3879,0.006,0.478,-0.098,0.539,0.864,0.469,13
3880,0.272,0.86,-1.346,0.473,0.793,0.466,13
3882,-0.918,0.451,-0.389,0.504,0.266,0.393,13
3883,-0.356,0.453,0.78,0.694,0.293,0.398,13
3884,0.022,0.484,0.804,0.67,-1.271,0.312,13
3885,0.068,0.486,0.055,0.524,-0.863,0.325,13
3886,-0.096,0.984,-0.467,0.501,-0.077,0.99,13
3887,-0.32,0.47,-0.524,0.477,-1.736,0.306,13
3889,-0.496,0.457,0.149,0.56,-0.718,0.327,13
3890,0.47,0.531,0.9,0.686,0.494,0.413,13
3891,-0.289,0.463,-0.452,0.486,1.267,0.534,13
3893,-0.129,0.473,-1.564,0.491,0.115,0.371,13
3894,0.115,0.485,0.437,0.587,-0.383,0.335,13
3895,-0.502,0.458,0.406,0.584,-0.2,0.347,13
3896,-0.267,0.461,0.839,0.676,0.421,0.408,13
3897,-0.288,0.468,-0.127,0.98,-1.106,0.317,13
3898,-0.918,0.449,-0.516,0.497,-1.258,0.308,13
3899,0.692,0.575,0.097,0.526,-0.266,0.346,13
3900,0.016,0.985,0.08,0.545,0.013,0.99,13
3901,0.178,0.989,0.865,0.686,0.142,0.993,13
3902,-0.604,0.457,-0.637,0.474,-0.591,0.331,13
3903,-1.481,0.452,0.282,0.556,1.034,0.5,13
3904,0.453,0.529,0.896,0.686,0.415,0.401,13
3905,0.178,0.506,-1.818,0.509,-0.306,0.348,13
3906,1.08,0.643,0.279,0.572,1.064,0.501,13
3907,0.894,0.607,0.928,0.692,0.301,0.394,13
3909,0.217,0.509,0.839,0.676,-0.689,0.325,13
3911,0.187,0.507,-2.07,0.582,-0.21,0.357,13
3912,-0.622,0.455,0.125,0.558,-1.476,0.309,13
3914,-1.58,0.441,0.078,0.555,-1.284,0.319,13
3915,-0.504,0.456,-0.84,0.456,-0.554,0.329,13
3916,0.694,0.575,0.473,0.591,-0.337,0.335,13
3917,0.33,0.518,0.867,0.681,-0.151,0.351,12
3918,0.273,0.513,0.853,0.678,-0.417,0.334,12
3919,-0.138,0.473,-0.551,0.502,0.151,0.377,12
3920,-0.37,0.46,-0.167,0.513,-0.959,0.318,12
3921,-0.98,0.449,-0.012,0.521,-1.747,0.305,12
3922,0.147,0.487,0.847,0.677,-0.302,0.335,12
3924,0.937,0.614,0.511,0.595,0.537,0.417,12
3926,-0.091,0.474,-0.722,0.455,0.453,0.401,12
3927,0.092,0.986,0.448,0.592,0.074,0.991,12
3928,0.284,0.514,0.347,0.561,-0.255,0.337,12
3929,-0.596,0.452,-0.521,0.464,-1.508,0.308,12
3930,-0.232,0.47,-0.691,0.495,-0.354,0.333,12
3931,1.168,0.665,0.289,0.985,1.337,0.545,12
3932,-0.442,0.457,-0.649,0.456,-0.219,0.347,12
3933,-1.633,0.442,0.667,0.648,-1.675,0.298,12
3934,0.588,0.561,-1.332,0.499,-0.365,0.337,12
3935,0.084,0.992,0.407,0.798,0.067,0.995,12
3936,0.178,0.989,0.865,0.686,0.142,0.993,12
3937,-0.455,0.46,-1.534,0.476,-1.171,0.314,12
3939,-0.226,0.47,-1.088,0.462,-0.235,0.343,12
3940,0.756,0.584,-0.096,0.517,0.021,0.356,12
