ff_id,SC15,SC15_SE,SC9,SC9_SE,Int15,Int15_SE,Ext15,Ext15_SE,Int9,Int9_SE,Ext9,Ext9_SE,city
1307,-0.911,0.444,-0.23,0.982,0.705,0.297,1.27,0.311,0.172,0.985,0.392,0.962,4
10155,0.848,0.621,-0.094,0.516,-0.205,0.35,-0.064,0.41,0.043,0.402,-0.245,0.34,4
1309,0.744,0.605,0.906,0.7,0.538,0.328,1.012,0.336,-0.02,0.398,-0.554,0.383,4
10121,0.477,0.552,-1.298,0.456,-1.145,0.522,-1.276,0.501,1.714,0.257,1.776,0.2,4
10087,-1.722,0.448,0.684,0.661,0.816,0.313,0.381,0.385,-0.686,0.517,-0.159,0.328,4
10029,-0.417,0.461,-0.514,0.461,0.046,0.337,-0.355,0.42,-0.936,0.561,-0.722,0.414,4
10044,-0.184,0.473,-0.803,0.448,-0.895,0.487,0.416,0.386,-1.267,0.631,-1.011,0.496,4
10082,1.098,0.671,0.949,0.711,-1.135,0.529,-0.455,0.43,-0.306,0.985,-0.266,0.962,4
1316,0.912,0.633,0.949,0.708,0.149,0.338,-0.512,0.441,-0.291,0.448,-0.782,0.422,4
1317,-0.228,0.471,-1.21,0.455,0.55,0.319,0.295,0.393,0.393,0.363,0.483,0.258,4
1318,1.356,0.726,0.132,0.532,-1.834,0.674,-2.351,0.63,-1.003,0.594,-1.455,0.587,4
1319,0.615,0.588,0.048,0.984,0.881,0.294,1.093,0.284,0.111,0.985,0.213,0.962,4
1320,-0.331,0.467,-0.043,0.982,-0.5,0.407,-0.136,0.386,-0.056,0.986,0.007,0.964,4
1321,0.844,0.622,0.956,0.709,0.082,0.359,0.629,0.358,-0.85,0.545,-0.96,0.474,4
1322,0.248,0.51,-0.115,0.48,-0.538,0.404,0.546,0.378,-0.8,0.529,-0.107,0.318,5
1323,0.455,0.548,-0.609,0.445,-0.563,0.414,-0.388,0.418,-1.349,0.65,-1.37,0.58,5
1324,0.935,0.637,0.145,0.531,-0.667,0.446,0.245,0.336,-1.432,0.658,-1.331,0.574,5
1325,0.764,0.608,0.165,0.573,0.294,0.325,0.529,0.367,-1.151,0.599,-0.975,0.477,5
1327,0.85,0.622,-0.871,0.451,-0.376,0.387,-0.531,0.439,0.499,0.348,-0.057,0.311,5
1328,-0.708,0.456,-0.407,0.453,-0.241,0.381,-0.607,0.452,-0.465,0.481,-0.896,0.455,5
1329,-2.319,0.492,-1.384,0.454,2.36,0.337,-1.029,0.479,1.077,0.294,-0.324,0.349,5
1331,-1.74,0.472,-0.245,0.982,-0.829,0.477,-1.288,0.505,-0.046,0.986,-0.173,0.968,5
1332,0.22,0.508,-0.226,0.507,-0.252,0.375,0.554,0.365,0.71,0.314,0.101,0.292,5
1333,-0.4,0.471,-1.277,0.476,-0.926,0.491,0.312,0.38,-0.724,0.519,0.076,0.305,5
1335,0.404,0.526,-0.387,0.504,-0.514,0.417,-0.804,0.466,-0.33,0.45,-1.015,0.477,5
1336,-0.498,0.46,-1.041,0.458,0.183,0.331,0.778,0.313,0.555,0.334,0.07,0.296,5
1337,-0.061,0.989,-0.05,0.987,-0.07,0.989,0.275,0.959,-0.39,0.509,0.399,0.267,5
1338,-0.273,0.477,-0.876,0.468,0.755,0.305,0.557,0.37,0.958,0.306,1.45,0.209,5
1339,-1.523,0.448,-0.181,0.982,-0.881,0.485,-1.884,0.578,-0.075,0.987,-0.349,0.971,5
1341,0.137,0.504,-0.917,0.476,-0.068,0.365,0.684,0.346,0.437,0.352,1.248,0.216,5
1342,1.096,0.669,0.978,0.713,-0.948,0.489,-0.633,0.456,-0.6,0.494,-0.713,0.414,5
1343,0.319,0.534,-0.242,0.488,0.232,0.334,0.028,0.399,0.048,0.412,0.75,0.247,5
1344,-0.53,0.45,-0.617,0.469,0.161,0.33,0.196,0.397,-0.111,0.417,0.291,0.278,5
1345,-0.282,0.976,-0.774,0.475,0.417,0.982,0.058,0.952,2.099,0.236,1.141,0.222,5
1346,0.325,0.536,-2.219,0.543,-0.627,0.449,0.017,0.397,-0.125,0.429,0.295,0.28,5
1348,-0.284,0.477,-0.941,0.453,0.689,0.301,0.768,0.352,0.112,0.406,1.478,0.215,5
1349,-0.494,0.46,-0.559,0.451,0.01,0.341,1.299,0.273,-0.618,0.536,0.185,0.35,5
1350,-0.439,0.463,0.211,0.537,0.761,0.316,0.6,0.365,0.205,0.37,-0.751,0.423,5
1351,0.668,0.593,-2.204,0.542,0.449,0.307,-0.82,0.461,1.115,0.289,0.004,0.299,5
1353,-0.736,0.455,-0.219,0.468,-0.119,0.357,-0.177,0.41,-0.536,0.492,-0.391,0.358,5
1354,-0.213,0.975,-0.916,0.44,0.165,0.983,0.109,0.956,0.492,0.352,0.372,0.278,5
1355,-0.737,0.462,-0.028,0.519,0.125,0.342,1.171,0.302,0.293,0.372,0.771,0.239,5
1356,0.626,0.568,0.004,0.511,-1.033,0.494,-1.859,0.56,-1.17,0.622,-1.311,0.555,5
1357,0.124,0.495,-0.27,0.488,0.01,0.353,0.727,0.315,-0.827,0.535,-0.235,0.338,5
1358,0.165,0.499,0.47,0.602,-1.43,0.594,-1.918,0.561,1.326,0.27,0.203,0.281,5
1359,0.4,0.542,0.8,0.68,0.178,0.333,-0.272,0.404,0.765,0.316,0.777,0.245,5
1360,-0.773,0.455,0.411,0.595,0.274,0.331,0.497,0.378,-0.195,0.437,-0.087,0.309,5
1363,0.002,0.978,0.319,0.586,0.041,0.984,0.069,0.955,0.451,0.356,0.444,0.263,5
1364,-2.033,0.445,-0.066,0.549,0.912,0.315,0.268,0.396,0.797,0.307,0.47,0.265,5
1365,0.834,0.62,0.159,0.572,0.092,0.363,-0.071,0.426,-0.362,0.458,-0.774,0.427,5
1366,-0.439,0.461,-0.089,0.495,0.365,0.304,-0.204,0.397,-0.742,0.526,-0.354,0.343,5
1368,0.523,0.555,0.92,0.702,-0.49,0.405,-0.307,0.436,0.115,0.388,-0.833,0.439,5
1369,0.893,0.629,-0.83,0.454,-0.492,0.396,-0.924,0.469,0.436,0.345,0.059,0.291,5
1370,0.05,0.482,-0.559,0.504,-1.4,0.587,-1.035,0.466,-1.39,0.66,-1.412,0.591,5
1371,0.319,0.983,0.935,0.71,-0.281,0.989,-0.298,0.972,-1.235,0.628,-1.191,0.538,5
1374,0.356,0.984,0.957,0.714,-0.303,0.989,-0.382,0.976,-1.375,0.664,-1.451,0.61,5
1375,-1.256,0.454,-0.975,0.447,1.217,0.303,0.731,0.356,0.914,0.305,0.428,0.264,5
1376,0.861,0.626,0.097,0.976,-0.206,0.352,-0.516,0.443,-0.367,0.471,0.543,0.26,5
1377,-1.512,0.43,-0.215,0.582,0.832,0.303,0.23,0.395,0.337,0.357,-0.077,0.307,5
1378,-0.648,0.457,-0.05,0.982,-0.575,0.436,-1.37,0.507,-0.07,0.986,-0.294,0.968,5
1379,-1.621,0.46,-0.314,0.508,0.123,0.33,0.122,0.403,-0.209,0.442,0.274,0.281,5
1380,-0.37,0.464,-0.421,0.47,-0.094,0.37,-0.539,0.429,0.495,0.349,0.471,0.275,5
1383,-0.05,0.489,-2.235,0.545,0.922,0.304,0.732,0.353,-0.654,0.512,-0.082,0.321,5
1384,0.959,0.642,1.008,0.719,-0.326,0.401,0.074,0.407,-1.413,0.661,-1.407,0.591,5
1385,1.153,0.68,-0.076,0.481,-1.318,0.547,-1.852,0.558,0.025,0.412,-0.003,0.294,5
1386,0.53,0.54,-0.407,0.505,-1.422,0.625,-1.438,0.516,-1.146,0.606,-1.083,0.497,5
1387,-0.496,0.467,-0.073,0.974,-0.444,0.423,1.121,0.315,-0.24,0.433,-0.032,0.312,5
1388,-0.641,0.466,-0.195,0.982,0.993,0.305,1.454,0.28,0.202,0.985,0.409,0.961,5
1390,-0.061,0.488,0.798,0.68,0.209,0.32,-0.018,0.405,0.522,0.343,0.165,0.286,5
1392,0.173,0.521,-0.647,0.47,1.303,0.315,0.6,0.37,-0.69,0.519,-0.26,0.34,5
1393,0.752,0.606,-0.422,0.502,-0.278,0.386,0.931,0.307,0.162,0.387,0.36,0.269,5
1394,-0.912,0.448,-0.226,0.982,1.024,0.303,0.971,0.326,0.213,0.985,0.302,0.962,5
